period,s_no,asi_circle,monument,domestic_visitors,foreign_visitors,total_visitors
2022-23,118,Guwahati,"Group of Four 47987 86 76896 102 60.24 18.60 Maidams Charaideo, Sibsagar Total",634390.0,1282.0,635672.0
2022-23,119,Goa,Upper Fort Aguada,1014969.0,8320.0,1023289.0
2022-23,120,Hyderabad,Charminar,928808.0,5986.0,934794.0
2022-23,121,Hyderabad,Golkonda Fort,1526718.0,11509.0,1538227.0
2022-23,122,Hyderabad,Warangal Fort 108267 242 106447 280 -1.68 15.70 Total,2592761.0,17734.0,2610495.0
2022-23,123,Jaipur,"Ancient Site,",184391.0,1450.0,185841.0
2022-23,124,Jaipur,Baori at Abhaneri,81401.0,39248.0,120649.0
2022-23,125,Jaipur,Deeg Bhawan 39755 245 37987 366 -4.45 49.39 Total,298416.0,41081.0,339497.0
2022-23,126,Jodhpur,Chittaurgarh Fort,802807.0,7155.0,809962.0
2022-23,127,Jodhpur,Kumbhalgarh Fort,389625.0,4759.0,394384.0
2022-23,128,Jodhpur,Marble Pavillion 547782 150 370056 152 -32.44 1.33 and balustrade on the Ana Sagar Bund and ruins of the marble hammam behind the Ana Sagar Bund Total,1902013.0,12090.0,1914103.0
2022-23,129,Leh,Ancient Palace Leh,60052.0,2610.0,62662.0
2022-23,130,Patna,Remains of,110985.0,178.0,111163.0
2022-23,131,Patna,Ancient site of,108428.0,9673.0,118101.0
2022-23,132,Patna,"Excavated Site,",390047.0,37456.0,427503.0
2022-23,133,Patna,Ancient Site of,75411.0,115.0,75526.0
2022-23,134,Patna,Sher Shah’s Tomb 302528 154 311750 231 3.05 50.00 Total,946419.0,47481.0,993900.0
2022-23,135,Raipur,Temple of Laxman,62971.0,19.0,62990.0
2022-23,136,Shimla,Ruined fort Kangra,124883.0,1233.0,126116.0
2022-23,137,Shimla,"Rock-cut Temples 52434 2603 41624 1341 -20.62 -48.48 and Sculptures, Masrur Total",176238.0,2273.0,178511.0
2022-23,138,Srinagar,Palace complex at,5584.0,0.0,5584.0
2022-23,139,Srinagar,Avantiswamin,44336.0,99.0,44435.0
2022-23,140,Srinagar,"Group of Temples, 16807 12 13842 15 -17.64 25.00 Kiramchi, District Udhampur Total",58145.0,108.0,58253.0
2022-23,141,Amaravati,Amaravati,5584.0,0.0,5584.0
2022-23,142,Amaravati,Undavalli Caves,127594.0,362.0,127956.0
2022-23,143,Amaravati,Nagarjuna Konda,64591.0,379.0,64970.0
2022-23,144,Amaravati,Chandragiri,115676.0,80.0,115756.0
2022-23,145,Amaravati,"Buddhist Remains, 16626 35 13754 47 -17.27 34.29 on hill top at Guntupalli W.G. District Total",335048.0,887.0,335935.0
2023-24,1,Agra,Taj Mahal,5052712.0,396900.0,5449612.0
2023-24,2,Agra,Agra Fort,1722213.0,139400.0,1861613.0
2023-24,3,Agra,Fatehpur Sikri,443689.0,62238.0,505927.0
2023-24,4,Agra,Akbar Tomb Sikandra,267509.0,9175.0,276684.0
2023-24,5,Agra,"Mariam Tomb,",39335.0,338.0,39673.0
2023-24,6,Agra,Itimad-ud,152495.0,44390.0,196885.0
2023-24,7,Agra,Ram Bagh,67489.0,1841.0,69330.0
2023-24,8,Agra,Mehtab Bagh,111302.0,17079.0,128381.0
2023-24,9,Agra,Mausoleum 709754 4142 578712 8218 -18.46 98.41 Total,8622758.0,672243.0,9295001.0
2023-24,10,Lucknow,Site of Sahet,93790.0,43360.0,137150.0
2023-24,11,Lucknow,Residency,152480.0,1789.0,154269.0
2023-24,12,Lucknow,Piprahwa & 46824 18061 38375 19317 -18.04 6.95 Ganwaria Total,284087.0,50769.0,334856.0
2023-24,13,Jhansi,Gupta & Varah,934.0,13.0,947.0
2023-24,14,Jhansi,Kalinjar Fort,95957.0,162.0,96119.0
2023-24,15,Jhansi,Rani Lakshmi Bai,15470.0,27.0,15497.0
2023-24,16,Jhansi,Rani Jhansi Fort 470724 611 521136 625 10.71 2.29 Total,522183.0,494.0,522677.0
2023-24,17,Sarnath,Lord Cornwallis,9148.0,90.0,9238.0
2023-24,18,Sarnath,Old Fort (Shahi,167409.0,343.0,167752.0
2023-24,19,Sarnath,Observatory of,61542.0,511.0,62053.0
2023-24,20,Sarnath,Excavated Remains,755062.0,54743.0,809805.0
2023-24,21,Sarnath,Tomb of Lal Khan,4804.0,32.0,4836.0
2023-24,22,Sarnath,Ancient Buddhist 47495 5816 36423 5351 -23.31 -8.00 Site know as Chaukhan di Stupa Total,1051713.0,62108.0,1113821.0
2023-24,23,Thrissur,"Bekal Fort,",384008.0,498.0,384506.0
2023-24,24,Thrissur,,,,
2023-24,25,Thrissur,Fort Palakkad,258812.0,252.0,259064.0
2023-24,26,Thrissur,"Fort St. Angelo, 240382 818 242895 1074 1.05 31.30 Kannur Total",1194988.0,33540.0,1228528.0
2023-24,27,Chennai,Group of,1507208.0,28033.0,1535241.0
2023-24,28,Chennai,Gingee Fort,179289.0,1896.0,181185.0
2023-24,29,Chennai,Tiger headed Rock,62765.0,1014.0,63779.0
2023-24,30,Chennai,"Fort, St. George 24254 5474 24664 7313 1.69 33.60 Total",1749262.0,30943.0,1780205.0
2023-24,31,Thiruchirapalli,"Fort on Rock,",36071.0,57.0,36128.0
